Document,Cluster
"Ireland's hopes of a first Olympic medal in rugby sevens are over following a 19-15 defeat to Fiji in the quarter-finals at the Stade de France.
",Sports
"Novak Djokovic outclassed his long-time rival Rafael Nadal to win their Olympic second-round match and continue his bid to land an elusive gold medal.
",Sports
"Britain's Tom Pidcock defied a puncture to retain his Olympic mountain bike title in astonishing fashion in Paris.
",Sports
"Gold medal favourite Iga Swiatek began her Olympic campaign with a testing victory over Irina-Camelia Begu in Paris.
",Sports
"Scottish athlete Neil Gourley believes he’s in the best condition of his life as he looks to put a run of injuries behind him and secure an Olympic medal.
",Sports
"Kilmarnock will head to Belgium level with Cercle Bruges after they came from behind to draw the first leg of their Europa League second round qualifier.
",Sports
"Scotland forward Che Adams has joined Serie A club Torino on a free transfer.

The 28-year-old left Southampton at the end of last season after his contract expired.
",Sports
"England fast bowler Chris Woakes will be considered for overseas tours despite his poor record away from home, says head coach Brendon McCullum.
",Sports
"BMX racer Beth Shriever believes a broken collarbone suffered only two months ago may prove to be a blessing in disguise as she prepares to defend her Olympic title in Paris.
",Sports
"‘Wild west of election work’: How certification fights are already cropping up in battleground states
",Politics
"
The presumptive Democratic presidential nominee has been a much more comfortable and cogent messenger on the issue than President Joe Biden, who wasn’t winning nearly as much support in 2024 as he did in 2020 – or major Democratic candidates did in 2022 – among voters who support legal abortion, according to previously unpublished results from multiple public polls.",Politics
"Darrell Ann Murphy is relieved, grateful and newly hopeful Democrats can win Pennsylvania and the White House. But she is also still upset, a little mad even.
",Politics
"“We’ve been thrown into an emotional tailspin,” is how Levin described President Joe Biden’s abrupt departure from the 2024 campaign this weekend and his quick endorsement of Vice President Kamala Harris. “What next? An enormous feeling of relief along with an enormous feeling of anxiety.”",Politics
"Vice President Kamala Harris voiced support for “defund the police” in a radio interview in June 2020 amidst nationwide protests for police reform, just months before denouncing the movement after she had joined the Biden presidential campaign.
",Politics
"Special counsel Robert Hur’s interview of President Joe Biden is a sign that the classified documents investigation is nearing conclusion after casting a wide net that included dozens of witnesses during the ten-month long probe, multiple sources told CNN.
",Politics
"Speaker of the House Mike Johnson closely collaborated with a group in the mid-to-late 2000s that promoted “conversion therapy,” a discredited practice that asserted it could change the sexual orientation of gay and lesbian individuals.
",Politics
"The Republican National Convention played a video in which former President Donald Trump urged Republicans to use “every appropriate tool available to beat the Democrats,” including voting by mail. 20788998 58:01 Trump relentlessly disparaged mail-in voting during the 2020 election, falsely claiming it was rife with fraud, and he has continued to sharply criticize it during the current campaign",Politics
"
Former President Donald Trump delivered another litany of false claims during two speeches on Saturday. And he expressed an opinion on American history that is clearly contradicted by the facts.
",Politics
"Vance’s elevation — despite his relative lack of government experience — is giving Harris a new opportunity to go after Trump. The message is not just that Vance is “weird,” as the vice president said at a fundraiser this weekend, or that he has objectionable views, advisers said; it’s that the Ohio senator shouldn’t be a heartbeat away from the presidency, and that Trump picking him raises more questions about the top of the ticket.",Politics
"A 22-year-old new MP has said he hoped to use his ""direct experience"" of problems in schools to help ""revitalise"" them.
",Politics
"Young Londoners have come together to discuss what politicians can do to help shape their futures, ahead of the general election on Thursday.
",Politics
"Independent MP Jeremy Corbyn has laid out a political strategy for the Left in an article for the Guardian newspaper, saying he is ""planting the seeds for a new way of doing politics"" in Islington and beyond.
",Politics
"Local politics is an old person's game.
And it's not just me saying that - the most recent survey of local councillors shows the average age of a councillor is now 60.
",Politics
"Bangladesh's Prime Minister Sheikh Hasina has blamed her political opponents for the deadly unrest in the country, adding she was ""forced"" to impose a curfew for public safety.
",Politics
"Nigel Farage has promised to ""change politics forever"" after his Reform UK party won more than four million votes, propelling him into Parliament for the first time.
",Politics
"Political tensions at a council in Devon are having a negative impact on staff morale, experts have found.
",Politics
"Senator Joe Manchin of West Virginia is calling for Joe Biden to drop out of the 2024 race, as the fight over whether the president should stay in spreads beyond the rank-and-file of the Democratic party.
",Politics
"
Former President Donald Trump met with Israeli Prime Minister Benjamin Netanyahu on Friday, the first such meeting between the two men since Trump left the White House more than three years ago.
",Politics
"They were born under a Labour government, became teenagers under a Conservative one, and a week today, they will vote for the first time. As the parties try to engage younger voters, these young people in west Cumbria have plenty to say.
",Politics
"A Leicestershire campaigner has spoken of his ""worry"" after someone tried to set fire to a political banner on the side of his house.
",Politics
"Two weeks into the gambling saga and it just grows and grows.
What began as a discrete - and extraordinary - story about one Conservative candidate is now a sprawling tangle of claims about at least six Conservatives, a Labour candidate and six officers from the Metropolitan Police, some of whom are being looked at by the Gambling Commission and others, it appears, are not.
",Politics
"As Boris Johnson’s Conservatives swept to victory in 2019, seats across Labour’s north west of England heartland went blue for the first time in decades.
",Politics
" 
Protests broke out in several Venezuelan cities on Monday after authoritarian leader Nicolás Maduro was formally declared a winner by the county’s electoral authority in a presidential race marred by accusations of electoral fraud.
",Politics
"
Iran is using covert social media activity and related influence operations in an effort to undercut the candidacy of former President Donald Trump, a US intelligence official said Monday in an updated assessment of threats to the November election.
",Politics
"
Police officers in Texas, senior citizens at a nursing home in Pennsylvania and people who had registered to vote at a Marine base in California.
",Politics
"Three members of the new cabinet have told the BBC that if Labour does not keep its promises, voters will back populists instead.
Chancellor Rachel Reeves suggested it would be an ""institutional failure"" if they could not get things done.
",Politics
"Israeli Prime Minister Benjamin Netanyahu visits the US this week under pressure to end the Gaza war, from both Israelis and the US administration. How might the political turbulence in Washington shape the trip and future relations?
",Politics
"A newly elected Labour MP has urged people to judge him only by his politics after revealing he faced personal abuse during the general election campaign.
David Burton-Sampson won the Southend West and Leigh seat, in Essex, from the Conservatives on 4 July.
",Politics
"Pictures of children wounded in an attack on a Ukrainian hospital are on most front pages. ""Putin bombs cancer kids"" is the Daily Mirror's headline. The Daily Mail describes the attack as an ""atrocity that shows why Britain and Nato must spend more on defence"".
",Politics
"
Taylor Swift has said she is “completely in shock” after a stabbing attack at a dance class celebrating the US singer’s music in Southport, England left two children dead and others injured.
",Entertainment
"
Erica Ash, the actress known for her role on BET’s “Real Husbands of Hollywood” series, has died, according to a statement from her mother. She was 46.
",Entertainment
"Jennifer Garner brings sunshine everywhere she goes, including to an uncomfortable situation at Comic-Con.
",Entertainment
"The actress and singer introduced Michael Polansky, her boyfriend of four years, as “my fiancé” to French Prime Minister Gabriel Attal, who Lady Gaga met while attending an Olympic swimming competition on Sunday, as seen in a video posted to the PM’s TikTok page.
",Entertainment
"With the months of buildup for “Deadpool & Wolverine,” it’s hard to believe that the movie is finally out in theaters.
",Entertainment
"Like its predecessors, “Deadpool & Wolverine” is loud, proudly vulgar and repeatedly shatters the fourth wall with gleeful naughtiness. Yet beneath the outlandishness, half-dozen belly laughs and nerd-centric beats resides sweet nostalgia for the last quarter-century of superhero movies, while demonstrating that Marvel Studios possesses the power to laugh at itself.
",Entertainment
"Like its predecessors, “Deadpool & Wolverine” is loud, proudly vulgar and repeatedly shatters the fourth wall with gleeful naughtiness. Yet beneath the outlandishness, half-dozen belly laughs and nerd-centric beats resides sweet nostalgia for the last quarter-century of superhero movies, while demonstrating that Marvel Studios possesses the power to laugh at itself.
",Entertainment
"The multi-hyphenate star is set to open up in a new reality series titled “Wayne Brady: The Family Remix,” which focuses on his unconventional family that includes his ex-wife and business partner Mandie Taketa, their college-aged daughter Maile and Taketa’s life partner, Jason Fordham.
",Entertainment
"
“Shōgun,” the historical drama based on James Clavell’s bestselling novel, broke a record with its Emmy nominations on Wednesday.
",Entertainment
"While both sides absorb the fallout from the battle of Rook’s Rest in episode 4, one message comes through loud and clear in “House of the Dragon’s” latest chapter: the women in this patriarchal society must fight wars on two fronts.
",Entertainment
"The “Older woman dates younger star” concept is getting a workout lately, with “The Idea of You” now followed by “A Family Affair,” which could easily be called “The Idea of My Movie-Star Boss Sleeping With My Mom.” While the Nicole Kidman-Zac Efron pairing should provoke curiosity, the tired beats of this romantic (and only occasional) comedy don’t rub together well enough to generate many sparks.",Entertainment
"
Late actor Treat Williams was among the crop of Primetime Emmy Award nominees on Wednesday morning, earning a posthumous nod for his role in “Feud: Capote vs. the Swans.”
",Entertainment
"A lot of talented people deliver an underachiever of a show with “A Man in Full,” a Netflix series that feels as if it’s creatively running on empty. Adapted from the novel by the late Tom Wolfe, known for his insight into elites in “The Bonfire of the Vanities,” this soap about an Atlanta real-estate mogul facing sudden bankruptcy seldom generates an ember, much less a bonfire.
",Entertainment
"
Netflix has enjoyed success with a certain kind of nightmare-fuel docuseries that strains various aspects of society through fun-house mirrors. “The Man With 1000 Kids” fits right in, down to the title, although the headline on the New York Times article that preceded this UK production, “The Case of the Serial Sperm Donor,” surely would have worked equally well.
",Entertainment
"A posted sign in a kitchen reads “Every Second Counts,” but “The Bear” is clearly in no hurry during its third season, proceeding at the slow-cooked pace of a show simmered in accolades and Emmys. Granted, the awards have come in a category in which the Hulu series doesn’t really belong, but it remains TV’s version of fine dining: big white plates with small but mouth-watering dollops of food on them.",Entertainment
"The nominees for the 76th Emmy Awards – television’s top honor – were announced Wednesday morning and “The Bear” ate it up.
",Entertainment
"
One comedy giant saluted another this week after the passing of Bob Newhart, who died Thursday morning at the age of 94.
",Entertainment
"
Kate Beckinsale is revealing a little more about what led to her hospitalization earlier this year.
",Entertainment
"Liverpool’s landmark Empire Theatre looks set to undergo its first major renovation in decades.
",Entertainment
"A free festival for children aged 11 to 16 returns to Hull later.
Zebfest, which launched in 2023 under the name Beat the Heat, is taking place from 14:30 to 18:30 BST in Zebedee’s Yard.
",Entertainment
"
Landing somewhere between sequel and reboot, “Twisters” introduces new characters and an extra letter to the 1996 disaster movie but not much else, leaving its stars stranded in a vehicle with roughly the weight of a stiff breeze. Impressive visual effects only go so far, though they at least provide a necessary distraction to the heightened awareness of climate change baked into the premise.",Entertainment
"
Benedict Bridgerton’s time has come to enter the marriage mart on the steamy Regency-era series “Bridgerton.”
",Entertainment
"A teaser trailer for “Captain America: Brave New World ” dropped, showing the Red Hulk battling it out with Anthony Mackie’s Sam Wilson.
",Entertainment
" 
Robert Downey Jr. is making his return to the Marvel Cinematic Universe – but it’s not what you think.
",Entertainment
" 
Lady Gaga was in top form in Paris, France on Friday, when she performed on the banks of the River Seine as part of the grand kickoff to the opening ceremony for the Olympic Summer Games.
",Entertainment
" 
Less than one week after Tan France’s son Ismail was born seven and a half weeks before his due date, weighing just 3.4 pounds, the “Queer Eye” star was back at work.
",Entertainment
"The rapper turned actor is leaning in to his love of cooking to encourage others to choose the kitchen over hitting the drive-thru lane. That’s why, on a recent hot day in Atlanta, Georgia, Ludacris was handing out samples of his lemon pepper chicken cutlets.
",Entertainment
"Major video game makers - like Activision, Warner Bros and Walt Disney - are facing a strike by Hollywood performers over the use of artificial intelligence (AI).
",Entertainment
"She’s a casting director for such programmes as Love Island USA, The Real Housewives of Dubai, and The Millionaire Matchmaker.
",Entertainment
"The trailer for Ridley Scott's sequel to Gladiator has dropped, showcasing several epic scenes, including a water battle in Rome's Colosseum and Paul Mescal being rammed by a rhino.
",Entertainment
"The King’s Speech seeks to fix some of the plumbing, wiring and foundations of the economy to “get Britain building”.
",Economics
"A woman who campaigned throughout her life for disability rights will be honoured with a blue plaque.
",Economics
"Rachel Reeves will give a statement to Parliament on Monday promising “honesty” about the scale of the financial challenge faced by the new Labour government.
",Economics
"Only one in eight renters can afford to buy in the area in which they live, research suggests.
High rent, bills and house prices mean it is more difficult for renters to buy their first home than it is for existing owners to move on, according to Skipton Group.
",Economics
"The Republic of Ireland's economy grew strongly in 2023, official figures suggest.
The headline measure, gross national income (GNI), expanded by 5% according to the Central Statistics Office (CSO).
",Economics
"India can be tricky territory for Labour.
Prime Minister Clement Attlee was criticised for allowing partition to be rushed at terrible cost in human life.
",Economics
"A new law is set to prevent any future government from sidelining the UK's independent forecaster from assessing its economic plans like former prime minister Liz Truss did for her short-lived mini-budget.
",Economics
"Harland and Wolff has confirmed the company will not get a government loan guarantee and that its chief executive has left his job.
",Economics
"About 100 jobs are at risk at the Northern Ireland operations of manufacturing firm Terex.
The United States company makes crushing and screening equipment used in industries like construction and mining.
",Economics
"Countries including the UK and the US are ""seeing some persistence” in inflation that might mean interest rates have to stay “higher for even longer”, the International Monetary Fund (IMF) has warned.
",Economics
"It’s an age-old question with which many — including philosophers, economists and psychologists — have wrestled.
",Economics
"President Joe Biden arrived at the White House in 2021 at a time of heightened chaos and uncertainty across a country reeling from the pandemic. Biden used his inauguration address to promote unity, in hopes of delivering a nation that’s “stronger, more prosperous, more ready for the future.”
",Economics
"Yet another favorable piece of economic data shows that price hikes are slowing and that long-unruly inflation appears to be tamed.
",Economics
"The value of some of the world’s best-known luxury companies is plunging as Chinese consumers pull back on spending, with even the most exclusive brands feeling the pain.
",Economics
"Gross domestic product, which measures all the goods and services produced in the economy, registered at a robust 2.8% annualized rate in the second quarter, after adjusting for inflation and seasonality, the Commerce Department said Thursday. That’s double the 1.4% rate seen earlier this year, and well above the 1.9% rate economists projected in a FactSet poll.",Economics
"The last decade has been very lucrative for the world’s super-rich residents, fueling the drive by some advocates to tax them more.
",Economics
"The US economy is on the verge of an extremely rare achievement.

Economic growth in the first half of the year was solid, with the economy expanding a robust 2.8% annualized rate in the second quarter, according to fresh Commerce Department figures released Thursday, which are adjusted for inflation and seasonal swings.
",Economics
"Telsa profit in the second quarter plunged more than 40% from a year ago, as the electric vehicle company has faced both more EV competition from established automakers and a slowing of overall EV sales growth.
",Economics
" 
Nearly four in ten (39%) of US adults say they worry most or all of the time that their family’s income won’t be enough to meet expenses, according to a new CNN poll. That’s up from 28% who expressed those concerns in December 2021, and it’s similar to the numbers seen during the Great Recession (37%).",Economics
"It’s hard not to get fired up by how much more everything costs compared to just a few years ago. But people making the same exact purchases as you aren’t necessarily paying the same exact prices as you.
",Economics
"
Leon Li used to play a discreet but indispensable part at one of China’s biggest tech giants.

As an administrative officer, she worked around the clock to schedule meetings, prepare documents and provide her bosses with whatever support they needed.
",Economics
"
Wall Street is cheering after fresh data showed American consumers aren’t tapping out quite yet, despite a disappointing few months for retailers.
",Economics
"
In 2018, Jonathan and Trista Schmier felt the economy was so strong that they could take a big risk. They quit their property management jobs and opened a restaurant, Rustic Burger, in Fayetteville, North Carolina.
",Economics
"Public bodies failed to proactively investigate potentially widespread fraud in agricultural planning applications, a watchdog’s report has found.
",Economics
"A programme providing insights into the workings of the NHS is improving school students’ grades, a south London hospital trust has said.
",Economics
"Deliberate fires set during May cost to a borough's economy more than £330,000, Office for National Statistics' figures suggest.
",Economics
"Steel workers, their families, and small businesses say their lives are on hold as the threat of significant job losses at Scunthorpe steelworks continues to hang over them.
As part of a £1.25bn decarbonisation plan, British Steel would close the plant's two blast furnaces, replacing them with a greener electric arc furnace.
",Economics
"Prime Minister Sir Keir Starmer says he has appointed a CEO known for employing ex-offenders as the new prisons minister because he ""walks the walk"".
",Economics
"As part of what turned out to be his failed bid for political survival, the now former Tory minister for London, Greg Hands, had offered a warning to voters.
",Economics
"Representatives from the five largest political parties in Northern Ireland clashed tonight in the second televised debate of the general election campaign.
",Economics
"Summer is here and Covid-19 infections are growing or likely growing in 36 states and territories, according to the US Centers for Disease Control and Prevention.
",Health
"The US Food and Drug Administration has approved a blood test to be used for colorectal cancer screening among average-risk adults 45 and older.
",Health
"California’s wildfires have been increasing in size and frequency, producing vast amounts of smoke that contribute to what state boards call a “growing public health problem.” New research links the long-term exposure of this wildfire smoke to brain health, suggesting that it greatly increases risk of dementia compared with other sources of air
The findings come from data on over 1.2 million people 60 or older in Southern California from 2009 to 2019. The results, which are currently undergoing peer review, were reported Monday at the 2024 Alzheimer’s Association International Conference.",Health
"
Gun sales surged during the Covid-19 pandemic, as did gun-related deaths. In 2021, 48,830 people died from gun-related injuries in the US, the highest number on record. Roughly 7.5 million American adults became new gun owners during the pandemic, and most of them had previously lived in a home without a gun, according to data from the 2021 National Firearms Survey.",Health
"Once a runner, hiker and math wiz, Yeager, 30, now takes 23 pills a day to manage symptoms that include paralysis, pain, seizures, muscle spasms, depression and memory problems. She recently learned to stand again and take a few steps, but she relies on an electric wheelchair to get around. She leans on her husband and in-laws to help her take care of her two children: a 7-year-old son and a daughter who is 10.",Health
"With a summer wave of Covid-19 infections sweeping the country, a timely new study has looked at the risk of getting long Covid and whether those odds have changed over time.
",Health
"
Suicide is a leading cause of death among young people in the United States, and new research suggests that the majority of young people who have died by suicide did not have a documented mental health diagnosis in their medical history.
",Health
"A man has died from an Ebola-like disease named Crimean-Congo hemorrhagic fever (CCHF) after being bitten by a tick in Spain.
",Health
"A growing set of evidence suggests that using semaglutide could lead to decreased substance use, and a large new study shows a promising link between the medication and tobacco use. But experts emphasize that much more research is needed before using the medications off-label for smoking cessation.",Health
"
I’m riding a recumbent bicycle while wearing my smartwatch, hoping that tracking my fitness and health metrics will inspire me to exercise more.
",Health
"Some new services are running out of money and face a £17m shortfall, the leader of Jersey's Health department has said.
",Health
"Community health and social care faces ""unprecedented pressures"" amid funding shortfalls and rising demand for services, according to Scotland’s public spending watchdog.
",Health
"A search is under way for a man who absconded from a south-east London mental health facility on Sunday.
",Health
"Rucksacks have been given to school children aged between 10 and 12 to help them with their mental health.
",Health
"A new scheme has been launched to support those at risk of a disease which one doctor described as ""one of our area’s biggest killers"".
",Health
"Health Secretary Eluned Morgan is ""giving serious consideration"" to standing to replace Vaughan Gething as Wales' first minister.
",Health
"More action is needed to narrow gaps in care and improve women's health outcomes, according to a recent study.
",Health
"A free and non-judgemental weekly mental health support group is helping to ""save lives"", its founder has said.
",Health
"More than 350 Suffolk County Council staff are struggling with depression, stress and anxiety, a report has shown.
",Health
"The sight of hundreds of people doing a workout with fitness guru Joe Wicks, aka the Body Coach, may have given regular Glastonbury festival goers pause.
",Health
"Signs along a costal path which offer support to people struggling with their mental health are being damaged and destroyed.
",Health
"A councillor is to jump out of a plane to raise money for a men's mental health charity.
Elvis Stooke, a member of South Kesteven District Council, will complete a tandem skydive in aid of the Grantham Bhive Place2Bee club.
",Health
"Health experts have told a Jersey scrutiny panel they would go elsewhere for healthcare amid a range of areas marked for improvement and a culture of ""denial"".
Three former health service leaders, two of whom resigned, spoke to the Health and Social Security Panel.
",Health
"
Scientists announced in December the successful creation of the Brain Care Score, a tool for assessing dementia or stroke risk without medical procedures.

",Health
"Steel from Gladiators is promoting a ""healthy mindset"" for youngsters after admitting he used to be overweight as a child and had little confidence.
",Health
"The founder of a peer support mental health group has said ""activities are the way forward"" when it comes to men's wellbeing.
",Health
"A charity that supports men with their mental health says they are seeing increasing numbers of homeless people needing help.
",Health
"A health and wellbeing charity is appealing for help from the local community to transform its new office space.
",Health
"A former Premier League referee has said it is ""so, so important"" that the mental health of young officials is supported.
",Health
"Healthcare staff on the Isle of Man must be given training to prepare for discussing assisted dying options with terminally ill patients, under new proposed laws.
",Health
